"CVL Code","CVL Main Heading","CVL Detail"
"5db26ab3-9b6f-4bee-b2aa-53aa3f3be7dd","Residence at a specific place","You must reside overnight within [REGION] probation region while of no fixed abode, unless otherwise approved by your supervising officer."
"fce34fb2-02f4-4eb0-9b8d-d091e11451fa","Restriction of residency","Not to reside (not even to stay for one night) in the same household as [ANY / ANY FEMALE / ANY MALE] child under the age of [INSERT AGE] without the prior approval of your supervising officer."
"b72fdbf2-0dc9-4e7f-81e4-c2ccb5d1bc90","Making or maintaining contact with a person","Attend all appointments arranged for you with a [PSYCHIATRIST / PSYCHOLOGIST / MEDICAL PRACTITIONER] unless otherwise approved by your supervising officer."
"9ae2a336-3491-4667-aaed-dd852b09b4b9","Making or maintaining contact with a person","Receive home visits from a Mental Health Worker."
"75a6aac6-02a7-4414-af14-942be6736892","Making or maintaining contact with a person","Should you return to the UK and Islands before the expiry date of your licence then your licence conditions will be in force and you must report within two working days to your supervising officer."
"4858cd8b-bca6-4f11-b6ee-439e27216d7d","Making or maintaining contact with a person","Not to seek to approach or communicate with [INSERT NAME OF VICTIM AND / OR FAMILY MEMBERS] without the prior approval of your supervising officer and / or [INSERT NAME OF APPROPRIATE SOCIAL SERVICES DEPARTMENT]."
"4a5fed48-0fb9-4711-8ddf-b46ddfd90246","Making or maintaining contact with a person","Not to have unsupervised contact with [ANY / ANY FEMALE / ANY MALE] children under the age of [INSERT AGE] without the prior approval of your supervising officer and / or [INSERT NAME OF APPROPRIATE SOCIAL SERVICES DEPARTMENT] except where that contact is inadvertent and not reasonably avoidable in the course of lawful daily life."
"355700a9-6184-40c0-9759-0dfed1994e1e","Making or maintaining contact with a person","Not to contact or associate with [NAMED OFFENDER(S) / NAMED INDIVIDUAL(S)] without the prior approval of your supervising officer."
"0aa669bf-db8a-4b8e-b8ba-ca82fc245b94","Making or maintaining contact with a person","Not to contact or associate with a known sex offender other than when compelled by attendance at a Treatment Programme or when residing at Approved Premises without the prior approval of your supervising officer."
"cc80d02b-0b62-4940-bac6-0bcd374c725e","Making or maintaining contact with a person","Not to contact directly or indirectly any person who is a serving or remand prisoner or detained in State custody, without the prior approval of your supervising officer."
"18b69f61-800f-46b2-95c4-2019d33e34d6","Making or maintaining contact with a person","Not to associate with any person currently or formerly associated with [NAMES OF SPECIFIC GROUPS OR ORGANISATIONS] without the prior approval of your supervising officer."
"48c4ae87-b8d8-45d1-aded-daefe8ad07fe","Making or maintaining contact with a person","Not to engage with or attempt to engage with commercial sexual services. This includes companionship/friendship style services, and all services whether sexual or not."
"d5998ca1-62a2-4409-88cd-3137d893c2a0","Making or maintaining contact with a person","Not to approach or communicate with any victims of your offences without the prior approval of your supervising officer."
"86e7a2cb-33b5-4079-84a4-f6579347c890","Making or maintaining contact with a person","Not to approach, contact or undertake any type of relationship with any employee, contractor or volunteer working on behalf of HM Prison and Probation Service directly or indirectly outside of supervision in appointments/reporting requirements without the prior permission of your supervising officer."
"1905aa46-59dd-4eb7-b009-81467cc8c426","Making or maintaining contact with a person","Not to attempt to bribe, blackmail or coerce any employee, contractor or volunteer working on behalf of HM Prison and Probation Service directly or indirectly to undertake actions on your behalf."
"df3f08a8-4ae0-41fe-b3bc-d0be1fd2d8aa","Participation in, or co-operation with, a programme or set of activities","To comply with any requirements specified by your supervising officer for the purpose of ensuring that you address your [SEXUAL OFFENDING / VIOLENT OFFENDING / GAMBLING / PROLIFIC OFFENDING / OFFENDING BEHAVIOUR]."
"9da214a3-c6ae-45e1-a465-12e22adf7c87","Participation in, or co-operation with, a programme or set of activities","Not to undertake work or other organised activity which will involve a person under the age of [INSERT AGE], either on a paid or unpaid basis without the prior approval of your supervising officer."
"0EDB6D01-46B6-408F-971C-0EBFF5FA93F0","Participation in, or co-operation with, a programme or set of activities","To engage with the Integrated Offender Management Team, and follow their instructions."
"625feb82-a5ab-4490-82e9-241218f775c5","Participation in, or co-operation with, a programme or set of activities","To comply with any requirements specified by your supervising officer to register and engage with [HOUSING / BENEFITS / EARLY HELP / CHILDREN'S SERVICES / YOUR SUPPORT NETWORKS / AN EDUCATION PROVIDER]."
